ID,Mnemonic,GenusSpecies
113,HORSAM,Horsfieldia amygdalina
266,HYDNCA,Hydnocarpus castanea
114,HYDNIL,Hydnocarpus ilicifolius
115,ILEXAF,Ilex affchapaensis
116,ILEXCH,Ilex chevalieri
294,IXORAC,Ixora acuminata
208,IXORCI,Ixora cibdela
283,IXORJA,Ixora javanica
278,IXORNI,Ixora nigricans
310,KNEMASP,Knema sp.
117,KNEMEL,Knema elegans
279,KNEMGL,Knema globularis
118,LAGEBA,Lagerstroemia balansae
119,LAGECA,Lagerstroemia calyculata
323,LAGEWH,Lagerstroemia white sap
244,LASICH,Lasianthus chinensis
225,LASIHR,Lasianthus hirsutus
229,LASIHS,Lasianthus hispidulus
203,LASIKU,Lasianthus kurzii
223,LASILU,Lasianthus lucidus
293,LASIR2,Lasianthus roo2
243,LASIRO,Lasianthus roosianus
291,LASISP1,Lasianthus sp1
207,LASIVE,Lasianthus verticillatus
226,LASIWA,Lasianthus wallichii
232,LEEAIN,Leea indica
206,LEPITE,Lepisanthes tetraphylla
327,LEUCLE,Leucaena leucocephala
218,LICUPO,Licuala poonsakii
330,LICUSP,Licuala sp.
120,LINDCO,Lindera communis
122,LITHCE,Lithocarpus ceriferus
228,LITHDE,Lithocarpus dealbatus
123,LITHEU,Lithocarpus eucalyptifolius
292,LITOBI,Litosanthes biflora
124,LITSBE,Litsea beusekomii
337,LITSGL,Litsea glutinosa
126,LITSMA,Litsea martabanica
125,LITSMO,Litsea monopetala
127,LITSUM,Litsea umbellata
128,LITSVE,Litsea verticillata
276,LIVIJE,Livistona jenkinsiana
129,LOPHWI,Lophopetalum wightianum
130,MACADE,Macaranga denticulata
131,MACASI,Macaranga siamensis
132,MACHAF,Machilus affsalicina
133,MACHGA,Machilus gamblei
281,MACRDI,Macropanax dispermus
146,MAGNBA,Magnolia baillonii
135,MALLPA,Mallotus paniculatus
136,MALLPH,Mallotus philippensis
239,MALLRE,Mallotus resinosus
137,MANGCO,Mangifera cochinchinensis
138,MANGDU,Mangifera duperreana
139,MARKST,Markhamia stipulata
140,MASTPE,Mastixia pentandra
224,MELAMA,Melastoma malabathricum
234,MELAOR,Melastoma orientale
142,MELIPI,Meliosma pinnata
141,MELIPT,Melicope pteleifolia
143,MELISI,Meliosma simplicifolia
304,MEMESP1,Memecylon sp. 1
307,MEMESP2,Memecylon sp. 2
308,MEMESP3,Memecylon sp. 3
205,MEMEED,Memecylon edule
315,MEMEED,Memecylon umbellatum
144,MEMELI,Memecylon lilacinum
247,MEMEOV,Memecylon ovatum
145,METATR,Metadina trichotoma
289,MICRDI,Microtropis discolor
306,MICRFA,Micromelum falcatum
249,MICRPA,Microtropis pallens
147,MILILI,Miliusa lineata
148,MISCPE,Mischocarpus pentapetalus
303,MONOSI,Monoon simiarum
298,MONOVI,Monoon viride
149,MORUMA,Morus macroura
150,NAUCOR,Nauclea orientalis
240,NEOCME,Neocinnamomum mekongense
220,NEOLSI,Neolitsea siamensis
151,NEOLZE,Neolitsea zeylanica
152,NEPHME,Nephelium melliferum
153,NOTHMO,Nothapodytes montana
273,OLEABR,Olea brachiata
154,ORMOSU,Ormosia sumatrana
155,OROXIN,Oroxylum indicum
156,PALAGA,Palaquium garrettii
275,PANDBI,Pandanus bifidus
212,PAVEIN,Pavetta indica
326,PELTDA,Peltophorum dasyrachis
157,PHOECA,Phoebe cathia
261,PHOEGR,Phoebe grandis
158,PHOELA,Phoebe lanceolata
246,PHYLAC,Phyllanthus acutissimus
314,PHYLEM,Phyllanthus emblica
334,PHYLSP,Phyllanthus sp.
